Area Code,City,Province Code,,Ref,Postal,Province,Region,Local,Lat,Long,,Advisor Emails,,Exclude Names,Exclude before @,Exclude domains
514,Montreal,QC,,T,T1K,AB,Alberta,Lethbridge Southeast,49.6511,-112.835,,cardinal.ca,,And,dv373415,gmaul.com
519,London,ON,,T,T1L,AB,Alberta,Banff,51.1762,-115.57,,cgf.com,,Apple,escapefromdhell,gomail4.com
548,London,ON,,T,T1M,AB,Alberta,Coaldale,49.7167,-112.619,,cooperators.ca,,asshole,fakenews,hatmail.com
579,Granby,QC,,T,T1P,AB,Alberta,Strathmore,51.0501,-113.385,,dccnet.com,,B5,fuckoff,hitmail.com
581,Quebec,QC,,T,T1R,AB,Alberta,Brooks,50.5834,-111.885,,dethomaswealth.com,,bah,fuckthis,hohoho.com
587,Calgary,AB,,T,T1S,AB,Alberta,Okotoks,50.7362,-113.97,,goodwinfinancial.ca,,Bbb,fyou,hormail.com
604,Vancouver,BC,,T,T1V,AB,Alberta,High River,50.5834,-113.869,,greentreewealth.ca,,Bdd,ggjkkkko,hotmail.com@example.com
613,Ottawa,ON,,T,T1W,AB,Alberta,Canmore,51.0876,-115.346,,harbourfrontwealth.com,,Big D,god_is_lonely_69,hotmil.com
639,Saskatchewan,SK,,T,T1X,AB,Alberta,Chestermere,51.0334,-113.819,,ipcc.org,,Blah,hbep,hotnail.con
647,Toronto,ON,,T,T1Y,AB,Alberta,Calgary (Rundle / Whitehorn / Monterey Park),51.0823,-113.958,,ipcsecurities.com,,Bong,hddpx,mail.ru
705,Sudbury,ON,,T,T1Z,AB,Alberta,Rocky View,51.1834,-113.935,,keybase.com,,Boo,hhg,man.com
709,Newfoundland/Labrador,NL,,T,T2A,AB,Alberta,Calgary (Penbrooke Meadows / Marlborough),51.0494,-113.956,,lawtonpartners.ca,,Booby,hhgy,no.co
778,Vancouver,BC,,T,T2B,AB,Alberta,Calgary (Forest Lawn / Dover / Erin Woods),51.0209,-113.981,,2020wealth.com,,Booger,jojo,no.com
780,Edmonton,AB,,T,T2C,AB,Alberta,Calgary (Lynnwood Ridge / Ogden / Foothills Industrial / Great Plains),50.987,-113.963,,acanac.net,,bullshit,jvdje,noemail.com
782,Nova Scotia/PE Island,NS/PEI,,T,T2E,AB,Alberta,Calgary (Bridgeland / Greenview / Zoo / YYC),51.0876,-114.021,,affinitycapital.ca,,Ccccc,k8e59,outlook.vom
807,Kenora,ON,,T,T2G,AB,Alberta,Calgary (Inglewood / Burnsland / Chinatown / East Victoria Park / Saddledome),51.0272,-114.035,,affluencepartners.com,,Cool,kf139059,scammers.com
819,Sherbrooke,QC,,T,T2H,AB,Alberta,Calgary (Highfield / Burns Industrial),50.9894,-114.052,,ajg.com,,Cry,kristas6669,yahoo.xa
825,Calgary,AB,,T,T2J,AB,Alberta,Calgary (Queensland Downs / Lake Bonavista / Willow Park / Acadia),50.8476,-114.196,,arpadwealth.ca,,Daaaa,me,23.com
867,Northern Canada,NORTH,,T,T2K,AB,Alberta,Calgary (Thornecliffe / Tuxedo),51.1111,-114.048,,axion.net,,Dad,never,233.com
873,Sherbrooke,QC,,T,T2L,AB,Alberta,Calgary (Brentwood / Collingwood / Nose Hill),51.1047,-114.115,,beyondwealth.ca,,Dead,no,a.com
902,Nova Scotia/PE Island,NS/PEI,,T,T2M,AB,Alberta,Calgary (Mount Pleasant / Capitol Hill / Banff Trail),51.133,-113.856,,bmts.com,,Dee,noemail,aaa.ca
905,Hamilton,ON,,T,T2N,AB,Alberta,Calgary (Kensington / Westmont / Parkdale / University),51.0621,-114.116,,brightrock.ca,,deez,noneodyour,aaa.com
,,,,T,T2P,AB,Alberta,Calgary (City Centre / Calgary Tower),51.0708,-113.693,,bristolgate.com,,Doesn�t,nothingisclear,ahaw.ca
,,,,T,T2R,AB,Alberta,Calgary (Connaught / West Victoria Park),51.0412,-114.076,,caldwellsecurities.com,,Doesn�t matter,p,ahoo.com
,,,,T,T2S,AB,Alberta,Calgary (Elbow Park / Britannia / Parkhill / Mission),51.0233,-114.071,,canadalife.com,,dog,planswell,aqwege.com
,,,,T,T2T,AB,Alberta,Calgary South (Altadore / Bankview / Richmond),51.0242,-114.1,,castlefinancial.net,,Don,poop,b.ca
,,,,T,T2V,AB,Alberta,Calgary (Oak Ridge / Haysboro / Kingsland / Windsor Park),50.9819,-114.1,,cbawealth.com,,donnnnnnnnnnnnnnnnnn,pshkjff,b.com
,,,,T,T2W,AB,Alberta,Calgary (Braeside / Woodbine),50.9514,-114.359,,centurianfinancial.com,,Drrdrd,redbulljoyride,bk.ru
,,,,T,T2X,AB,Alberta,Calgary (Midnapore / Sundance),50.8837,-114.033,,chinookfinancial.com,,dsafdaf,stirfryrice,blah.com
,,,,T,T2Y,AB,Alberta,Calgary (Millrise / Somerset / Bridlewood / Evergreen),50.9093,-114.103,,claritywc.ca,,Dude,tartspam,blow.com
,,,,T,T2Z,AB,Alberta,Calgary (Douglas Glen / McKenzie Lake / Copperfield / East Shepard),50.9278,-113.968,,clearfocusfinancial.ca,,Duhhh,v125103,bmr.ca
,,,,T,T3A,AB,Alberta,Calgary (Dalhousie / Edgemont / Hamptons / Hidden Valley),51.1264,-114.142,,cmfa.nf.net,,English,whybotherask,bvrh.ca
,,,,T,T3B,AB,Alberta,Calgary (Montgomery / Bowness / Silver Springs / Greenwood),51.0915,-114.207,,connectwealth.ca,,Example,woofyboy,c.ca
,,,,T,T3C,AB,Alberta,Calgary (Rosscarrock / Wildwood / Shaganappi / Sunalta),51.0497,-114.139,,dfsfinancial.ca,,Fake,xoxj,cat.com
,,,,T,T3E,AB,Alberta,Calgary (Lakeview / Glendale / Killarney / Glamorgan),50.9899,-114.157,,dietzfinancial.com,,fake account,xxxodeus,cccc.com
,,,,T,T3G,AB,Alberta,Calgary (Hawkwood / Arbour Lake / Royal Oak / Rocky Ridge),51.1387,-114.202,,ebgfinancial.ca,,Fauck,yes,chclzq.com
,,,,T,T3H,AB,Alberta,Calgary (Discovery Ridge / Signal Hill / Aspen Woods / Patterson / Cougar Ridge),51.0419,-114.2,,evansec.com,,Fgrty,12jcc6,chef.ne
,,,,T,T3J,AB,Alberta,Calgary (Martindale / Taradale / Falconridge / Saddle Ridge),51.1188,-113.947,,excaliburplanning.com,,Fhhh,a,coe.ptt
,,,,T,T3K,AB,Alberta,Calgary (Sandstone / Harvest Hills / Coventry Hills / Panorama Hills / Beddington),51.1563,-114.057,,fieldhousecap.com,,First,aa230315,crrstv.net
,,,,T,T3L,AB,Alberta,Calgary (Tuscany / Scenic Acres),51.1467,-114.313,,financialbenefitsgroup.com,,First Name,aaa,dd.con
,,,,T,T3M,AB,Alberta,Calgary (Cranston),50.8796,-113.956,,futurevalues.com,,Fuck,aaaaa,dodo.com
,,,,T,T3N,AB,Alberta,Calgary Northeast,51.1626,-113.954,,gmx.com,,Fuck you,b.o.o.k.f.a.c.e,e.con
,,,,T,T3P,AB,Alberta,Calgary (Symons Valley),51.2074,-114.135,,gnfinancial.ca,,fucker,basketball_rulz08,fd.ca
,,,,T,T3R,AB,Alberta,Calgary Northwest,51.2021,-114.245,,golden.net,,Fuckhead,bbb,ffg.com
,,,,T,T3S,AB,Alberta,Calgary,50.9153,-113.893,,golife.ca,,fuk,blah,ffyp.ca
,,,,T,T3Z,AB,Alberta,Redwood Meadows,51.0691,-114.473,,gpwealth.ca,,Fuker,blah2,fish-ner.ca
,,,,T,T4A,AB,Alberta,Airdrie East,51.2799,-113.988,,graywealth.ca,,fuzzy,bulshit,fuckoff.com
,,,,T,T4B,AB,Alberta,Airdrie West,51.3082,-114.04,,guthrofinancial.com,,G$,but,fuckyou.com
,,,,T,T4C,AB,Alberta,Cochrane,51.1834,-114.469,,hamptonsecurities.com,,g6,c,fugue.net
,,,,T,T4E,AB,Alberta,Red Deer County,52.2765,-113.706,,helmmanagement.ca,,Gay,ccccc,g.com
,,,,T,T4G,AB,Alberta,Innisfail,52.0269,-113.951,,iagto.ca,,Ggg,cj57cj57,gffd.com
,,,,T,T4H,AB,Alberta,Olds,51.7834,-114.102,,idcwin.ca,,GGHGHG,cspahm,gg.com
,,,,T,T4J,AB,Alberta,Ponoka,52.6768,-113.582,,infomoney.ca,,Happy,d,gilfun.com
,,,,T,T4L,AB,Alberta,Lacombe,52.4668,-113.735,,ivoryplanninggroup.ca,,Heading,dddddd,gishpuppy.com
,,,,T,T4M,AB,Alberta,Blackfalds,52.3834,-113.785,,ivorywealth.ca,,hello,desistfromsendingjunk,gmail.ckm
,,,,T,T4N,AB,Alberta,Red Deer Central,52.2316,-113.836,,justwealth.com,,Hey,dfff,gmail.co
,,,,T,T4P,AB,Alberta,Red Deer North,52.2954,-113.807,,kindlefinancial.com,,Hgg,dffff,gmail.col
,,,,T,T4R,AB,Alberta,Red Deer South,52.2424,-113.778,,kos.net,,hghghghghg,dhdjs,gmail.comcom
,,,,T,T4S,AB,Alberta,Sylvan Lake,52.3168,-114.085,,kscu.com,,Hhff,dude,gmail.comdd
,,,,T,T4T,AB,Alberta,Rocky Mountain House,52.3668,-114.919,,leedejonesgable.com,,Hi,e,gmail.comm
,,,,T,T4V,AB,Alberta,Camrose,53.0168,-112.835,,mackieresearch.com,,Hoo,e.g.cabby,gmail.vom
,,,,T,T4X,AB,Alberta,Beaumont,53.3501,-113.419,,matthewpatafie.com,,Iiii,emailfortheuntrusted,gmailllsome.com
,,,,T,T5A,AB,Alberta,Edmonton (West Clareview / East Londonderry),53.5931,-113.408,,mctaguefinancial.com,,Info,fake,gmaol.com
,,,,T,T5B,AB,Alberta,Edmonton (East North Central / West Beverly),53.7353,-113.337,,mdlfinancialgroup.ca,,it doesn't matter,fdvutddfg,gmdil.com
,,,,T,T5C,AB,Alberta,Edmonton (Central Londonderry),53.5996,-113.455,,melissahuston.com,,IUnknown,fuck,gmsil.co
,,,,T,T5E,AB,Alberta,Edmonton (West Londonderry / East Calder),53.7454,-113.447,,mercatorfinancial.ca,,J100,fuckyou,gmsil.com
,,,,T,T5G,AB,Alberta,Edmonton (North Central / Queen Mary Park / YXD),53.5705,-113.505,,mfgltd.com,,Jeeeeep,fundingresults,gmul.com
,,,,T,T5H,AB,Alberta,Edmonton (North and East Downtown Fringe),53.5514,-113.492,,mnsi.net,,Jjbbbhhg,gfoujy,gnail.com
,,,,T,T5J,AB,Alberta,Edmonton (North Downtown),53.5428,-113.497,,mobiusplanning.com,,kkkkk,gg,gnail.con
,,,,T,T5K,AB,Alberta,Edmonton (South Downtown / South Downtown Fringe),53.5366,-113.51,,niagararegionmoneycoaches.com,,Lake,ggreencorn,googlemail.com
,,,,T,T5L,AB,Alberta,Edmonton (North Westmount / West Calder / East Mistatim),53.585,-113.553,,northfront.com,,Lllll,ghggyu,gueloh.ca
,,,,T,T5M,AB,Alberta,Edmonton (South Westmount / Groat Estate / East Northwest Industrial),53.563,-113.566,,oaktreefinancial.ca,,lol,gofuckyourself,h.com
,,,,T,T5N,AB,Alberta,Edmonton (Glenora / SW Downtown Fringe),53.5436,-113.557,,opendoorfinancial.ca,,M1,hhhhhh,hatethis.com
,,,,T,T5P,AB,Alberta,Edmonton (North Jasper Place),53.5463,-113.596,,pangaea-asset.com,,mama,ihf,hay.net
,,,,T,T5R,AB,Alberta,Edmonton (Central Jasper Place / Buena Vista),53.5181,-113.58,,parallelwealth.com,,Mashed Potatoes,janedoe,hdjekeijd.com
,,,,T,T5S,AB,Alberta,Edmonton (West Northwest Industrial / Winterburn),53.5634,-113.67,,pebplans.com,,Me,jfkdjd,hey.com
,,,,T,T5T,AB,Alberta,Edmonton West (West Jasper Place / West Edmonton Mall),53.5185,-113.658,,perlerfinancial.com,,Mom,jojo12345678,hg.cj
,,,,T,T5V,AB,Alberta,Edmonton (Central Mistatim),53.5848,-113.622,,pinnaclewealth.ca,,Mr. X,jrljlr,hgd.it
,,,,T,T5W,AB,Alberta,Edmonton (Central Beverly),53.5645,-113.402,,redcliffe.ca,,My,learntoinvestyourself,hh.com
,,,,T,T5X,AB,Alberta,Edmonton (East Castledowns),53.6313,-113.525,,retirementnavigator.ca,,Myself,lifeisfunny77,hhjk.com
,,,,T,T5Y,AB,Alberta,Edmonton (Landbank / Oliver / East Lake District),53.6585,-113.361,,richardsongmp.com,,N/A,m,hmail.com
,,,,T,T5Z,AB,Alberta,Edmonton (West Lake District),53.6365,-113.467,,scenicdrive.ca,,NA,me_13_7,homail.com
,,,,T,T6A,AB,Alberta,Edmonton (North Capilano),53.5482,-113.432,,stintonfinancial.com,,Name,newcum,home.com
,,,,T,T6B,AB,Alberta,Edmonton (SE Capilano / West Southeast Industrial / East Bonnie Doon),53.5128,-113.419,,tkfg.ca,,nice,no769,hormail.ca
,,,,T,T6C,AB,Alberta,Edmonton (Central Bonnie Doon),53.522,-113.459,,tophatadvisory.ca,,No,noname,hotma.com
,,,,T,T6E,AB,Alberta,Edmonton (South Bonnie Doon / East University),53.4914,-113.48,,unitz.ca,,No thanks,none,hotmai.com
,,,,T,T6G,AB,Alberta,Edmonton (West University / Strathcona Place),53.521,-113.532,,upfinancial.ca,,Noname,nope,hotmail.co
,,,,T,T6H,AB,Alberta,Edmonton (Southgate / North Riverbend),53.3753,-113.459,,vianet.ca,,none,nospam,hotmail.cok
,,,,T,T6J,AB,Alberta,Edmonton (Kaskitayo),53.4564,-113.521,,viscontifinancial.ca,,None of your business,onion1,hotmail.de
,,,,T,T6K,AB,Alberta,Edmonton (West Mill Woods),53.4609,-113.452,,visionarywealthplanning.ca,,Noneofyourbusiness,planswwll,hotmsil.com
,,,,T,T6L,AB,Alberta,Edmonton (East Mill Woods),53.4593,-113.415,,wealthable.ca,,Noneyobusiness,rbjspam,hotnmail.com
,,,,T,T6M,AB,Alberta,Edmonton Southwest,53.4593,-113.655,,wealthsmart.ca,,Nope,retirementcalculator,hsish.com
,,,,T,T6N,AB,Alberta,Edmonton (South Industrial),53.465,-113.478,,weyburnsecurity.ca,,NoRequired,rjrhrh,idonttthink.com
,,,,T,T6P,AB,Alberta,Edmonton (East Southeast Industrial / South Clover Bar),53.5078,-113.372,,wprivate.ca,,NoSpam,sdc,in.com
,,,,T,T6R,AB,Alberta,Edmonton (Riverbend),53.4567,-113.58,,xplornet.ca,,Notrequired,sexythickchick,itsru.com
,,,,T,T6S,AB,Alberta,Edmonton (North Clover Bar),53.5806,-113.337,,yourmoola.ca,,Null,shdhjsnx,jdit.ca
,,,,T,T6T,AB,Alberta,Edmonton (Meadows),53.4617,-113.371,,120eglinton.com,,Oh,shopping,jen.ca
,,,,T,T6V,AB,Alberta,Edmonton (West Castledowns),53.6112,-113.575,,123retire.ca,,Old Man,smileitmakespeoplewonder,just_testing.com
,,,,T,T6W,AB,Alberta,Edmonton (Heritage Valley),53.4179,-113.579,,163.com,,Pack,solohub,justtesting.com
,,,,T,T6X,AB,Alberta,Edmonton (Ellerslie),53.4154,-113.418,,18assetmanagement.com,,Papa,spamfortim,knet.ca
,,,,T,T7A,AB,Alberta,Drayton Valley,53.2168,-114.985,,1fc.ca,,Peepeehead,teetothedee,literallyretarded.com
,,,,T,T7E,AB,Alberta,Edson,53.5834,-116.436,,1stchoicesavings.ca,,Perfect,test,live.comp
,,,,T,T7N,AB,Alberta,Barrhead,54.1334,-114.402,,360wss.com,,Pet,testing911,live.cs
,,,,T,T7P,AB,Alberta,Westlock,54.1502,-113.869,,365financial.ca,,Plan,thisisfake5631,lmi.ca
,,,,T,T7S,AB,Alberta,Whitecourt,54.1501,-115.686,,3ifinancial.com,,Planswell,tinkerpixie,lsjd.com
,,,,T,T7V,AB,Alberta,Hinton,53.4001,-117.586,,3macs.com,,Poo,tvdruggedzombie,m.faa
,,,,T,T7X,AB,Alberta,Spruce Grove North,53.5334,-113.919,,4sightfinancial.net,,Poop,v,mail.com
,,,,T,T7Y,AB,Alberta,Spruce Grove South,53.4184,-113.81,,aaalicpa.com,,Random,wineplanks,maildrop.cc
,,,,T,T7Z,AB,Alberta,Stony Plain,53.5334,-114.002,,aacefinancial.com,,rrr,write,marahadj.com
,,,,T,T8A,AB,Alberta,Sherwood Park West,53.528,-113.251,,aamfinancial.com,,Sample,bullshit,mbox.re
,,,,T,T8B,AB,Alberta,Sherwood Park Outer Southwest,53.4397,-113.295,,abacusgroup.net,,Secret,fool,me.con
,,,,T,T8C,AB,Alberta,Sherwood Park Inner Southwest,53.4391,-113.19,,abacuswealthmgmt.com,,She,nothing,mmm.com
,,,,T,T8E,AB,Alberta,Sherwood Park Central,53.5225,-113.102,,abarquezgroup.com,,Shhhh,fakefakerson,msn.cm
,,,,T,T8G,AB,Alberta,Sherwood Park East,53.5052,-112.953,,abbottwealth.com,,shit,imachum,mts.cim
,,,,T,T8H,AB,Alberta,Sherwood Park Northwest,53.556,-113.295,,abergfinancial.com,,Shit head,52752,myself.com
,,,,T,T8L,AB,Alberta,Fort Saskatchewan,53.7168,-113.219,,abilitywealthmanagement.com,,Something,7782956631,nni.io
,,,,T,T8N,AB,Alberta,St. Albert,53.6334,-113.635,,abramsfinancial.ca,,Soo,,nomail.com
,,,,T,T8R,AB,Alberta,Morinville,53.8001,-113.652,,abundance.ca,,Sorry,,nope.com
,,,,T,T8S,AB,Alberta,Peace River,56.2501,-117.286,,abundant.ca,,Sss,,nor-val.com
,,,,T,T8T,AB,Alberta,St. Albert,53.6867,-113.71,,acadian-asset.com,,Stuff,,nospam.com
,,,,T,T8V,AB,Alberta,Grande Prairie Central,55.1808,-118.91,,acadie.com,,test,,not.clunus
,,,,T,T8W,AB,Alberta,Grande Prairie South,55.1303,-118.795,,accesscu.ca,,testing,,ofmailer.net
,,,,T,T8X,AB,Alberta,Grande Prairie East,55.1834,-118.746,,accilentcapital.com,,Thanks,,olia.me
,,,,T,T9A,AB,Alberta,Wetaskiwin,52.9668,-113.369,,accuplanfinancial.com,,The,,outlook.con
,,,,T,T9C,AB,Alberta,Vegreville,53.5001,-112.052,,achtba.ca,,The plan,,punko.ca
,,,,T,T9E,AB,Alberta,Leduc,53.2668,-113.552,,acicdn.ca,,truck,,rigers.com
,,,,T,T9G,AB,Alberta,Devon,53.3668,-113.735,,acmefinancial.ca,,Turd,,rogers.xom
,,,,T,T9H,AB,Alberta,Fort McMurray Outer Central,56.664,-111.136,,acpol.com,,viewer,,ruru.be
,,,,T,T9J,AB,Alberta,Fort McMurray Inner Central,56.707,-111.377,,acquaintfinancial.com,,What,,sam.com
,,,,T,T9K,AB,Alberta,Fort McMurray Northwest,56.7538,-111.435,,activus.com,,Whatever,,sdfcc.com
,,,,T,T9M,AB,Alberta,Cold Lake,54.4502,-110.202,,adamsjamieson.com,,Whocares,,silomail.com
,,,,T,T9N,AB,Alberta,Bonnyville,54.2668,-110.735,,addenda-capital.com,,Why,,ssss.ca
,,,,T,T9S,AB,Alberta,Athabasca,54.7169,-113.285,,addendacapital.com,,Wtf,,suckme.net
,,,,T,T9V,AB,Alberta,Lloydminster,53.2717,-110.085,,adenleungcpa.com,,Xx,,test.cim
,,,,T,T9W,AB,Alberta,Wainwright,52.839,-110.857,,admiralinc.ca,,Xxx,,test.net
,,,,T,T9X,AB,Alberta,Vermilion,53.3669,-110.852,,adpfinancial.ca,,Xxxxxx,,thebengo.com
,,,,V,V5K,BC,British Columbia,Vancouver (North Hastings-Sunrise),49.2807,-123.04,,adrianshortcga.com,,Xy,,totochi.site
,,,,V,V5L,BC,British Columbia,Vancouver (North Grandview-Woodlands),49.2795,-123.067,,advantageadvisors.ca,,xyx,,ttirv.org
,,,,V,V5M,BC,British Columbia,Vancouver (South Hastings-Sunrise / North Renfrew-Collingwood),49.26,-123.04,,advantagegroup.org,,xyz,,v.com
,,,,V,V5N,BC,British Columbia,Vancouver (South Grandview-Woodlands / NE Kensington),49.2551,-123.067,,advfinancial.ca,,Yeah,,vinti.ca
,,,,V,V5P,BC,British Columbia,Vancouver (SE Kensington / Victoria-Fraserview),49.222,-123.068,,adviantfinancial.com,,Yyy,,why.com
,,,,V,V5R,BC,British Columbia,Vancouver (South Renfrew-Collingwood),49.2397,-123.041,,advice2advisors.ca,,556312,,world.pl
,,,,V,V5S,BC,British Columbia,Vancouver (Killarney),49.2175,-123.038,,adviceonly.ca,,fakename,,yahoo.ac
,,,,V,V5T,BC,British Columbia,Vancouver (East Mount Pleasant),49.262,-123.092,,adviceonlyestateplanning.com,,fakename,,yahoo.co.uk
,,,,V,V5V,BC,British Columbia,Vancouver (West Kensington / NE Riley Park-Little Mountain),49.248,-123.091,,advicoadvisory.com,,hujeqdhiqufdqiuew,,yeii.com
,,,,V,V5W,BC,British Columbia,Vancouver (SE Riley Park-Little Mountain / SW Kensington / NE Oakridge / North Sunset),49.2327,-123.092,,advisorsforlife.ca,,p-a,,yopmail.com
,,,,V,V5X,BC,British Columbia,Vancouver (SE Oakridge / East Marpole / South Sunset),49.2156,-123.098,,aec-econ.com,,Why?,,you.com
,,,,V,V5Y,BC,British Columbia,Vancouver (West Mount Pleasant / West Riley Park-Little Mountain),49.2492,-123.11,,aeps.ca,,Arse,,z.com
,,,,V,V5Z,BC,British Columbia,Vancouver (East Fairview / South Cambie),49.2475,-123.121,,aesica.ca,,yo,,hotnail.com
,,,,V,V6A,BC,British Columbia,Vancouver (Strathcona / Chinatown / Downtown Eastside),49.2779,-123.091,,affinitycu.ca,,,,hoymail.com
,,,,V,V6B,BC,British Columbia,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),49.2788,-123.114,,affinityfg.com,,,,test.com
,,,,V,V6C,BC,British Columbia,Vancouver (Waterfront / Coal Harbour / Canada Place),49.2866,-123.116,,affolterfinancial.com,,,,hotmail.com+spam
,,,,V,V6E,BC,British Columbia,Vancouver (South West End),49.2833,-123.13,,agecorp.co,,,,live.fr
,,,,V,V6G,BC,British Columbia,Vancouver (North West End / Stanley Park),49.299,-123.141,,agf.com,,,,planswell.com
,,,,V,V6H,BC,British Columbia,Vancouver (West Fairview / Granville Island / NE Shaughnessy),49.2559,-123.132,,aglaassoc.com,,,,hootmail.com
,,,,V,V6J,BC,British Columbia,Vancouver (NW Shaughnessy / East Kitsilano / Quilchena),49.2603,-123.146,,agorafinancial.ca,,,,hotmail.con
,,,,V,V6K,BC,British Columbia,Vancouver (Central Kitsilano),49.2646,-123.165,,ahsanfinancial.com,,,,nowhere.com
,,,,V,V6L,BC,British Columbia,Vancouver (NW Arbutus Ridge),49.2497,-123.166,,aim.com,,,,hotmail.con
,,,,V,V6M,BC,British Columbia,Vancouver (South Shaughnessy / NW Oakridge / NE Kerrisdale / SE Arbutus Ridge),49.2344,-123.145,,ajwep.ca,,,,rogers.cm
,,,,V,V6N,BC,British Columbia,Vancouver (Dunbar-Southlands / Musqueam),49.2302,-123.189,,akalinsurance.com,,,,qq.com
,,,,V,V6P,BC,British Columbia,Vancouver (SE Kerrisdale / SW Oakridge / West Marpole),49.2151,-123.14,,alabelle.ca,,,,
,,,,V,V6R,BC,British Columbia,Vancouver (West Kitsilano / Jericho),49.2666,-123.198,,alacartefinancial.ca,,,,
,,,,V,V6S,BC,British Columbia,Vancouver (Chaldecutt / South University Endowment Lands),49.2491,-123.209,,alberta-cu.com,,,,
,,,,V,V6T,BC,British Columbia,Vancouver (UBC),49.4635,-122.822,,aldergrovecu.ca,,,,
,,,,V,V6Z,BC,British Columbia,Vancouver (SW Downtown),49.2767,-123.13,,aldersley.ca,,,,
,,,,V,V7G,BC,British Columbia,North Vancouver Outer East,49.3678,-122.928,,alecghenleygroup.com,,,,
,,,,V,V7H,BC,British Columbia,North Vancouver Inner East,49.3551,-122.98,,algarvirtue.com,,,,
,,,,V,V7J,BC,British Columbia,North Vancouver East Central,49.3622,-123.018,,algbrown.com,,,,
,,,,V,V7K,BC,British Columbia,North Vancouver North Central,49.3597,-123.038,,algonquinlive.com,,,,
,,,,V,V7L,BC,British Columbia,North Vancouver South Central,49.316,-123.058,,alignedcapitalpartners.com,,,,
,,,,V,V7M,BC,British Columbia,North Vancouver Southwest Central,49.3222,-123.083,,alipahlavani.com,,,,
,,,,V,V7N,BC,British Columbia,North Vancouver Northwest Central,49.35,-123.068,,alisonanderson.ca,,,,
,,,,V,V7P,BC,British Columbia,North Vancouver Southwest,49.322,-123.115,,alitis.ca,,,,
,,,,V,V7R,BC,British Columbia,North Vancouver Northwest,49.3775,-123.086,,all-sask.com,,,,
,,,,V,V7S,BC,British Columbia,West Vancouver North,49.3745,-123.186,,allainmalik.com,,,,
,,,,V,V7T,BC,British Columbia,West Vancouver Southeast,49.3322,-123.142,,allegiancewm.com,,,,
,,,,V,V7V,BC,British Columbia,West Vancouver South,49.3397,-123.191,,alliancefinancial.ca,,,,
,,,,V,V7W,BC,British Columbia,West Vancouver West,49.3615,-123.263,,alliancewealth.ca,,,,
,,,,V,V7X,BC,British Columbia,Vancouver (Bentall Centre),49.2935,-123.116,,alliedtax.ca,,,,
,,,,V,V7Y,BC,British Columbia,Vancouver (Pacific Centre),49.2819,-123.119,,allstate.ca,,,,
